,OverallQual,KitchenQual,GarageCars,Functional,Fireplaces,BsmtExposure,GarageFinish,GarageQual,BsmtQual,HeatingQC,ExterQual,FireplaceQu,BsmtFinType1,BsmtFinType2,TotRmsAbvGrd,MasVnrArea,KitchenAbvGr,Outdoor_Rec,Total_Fullbath,Total_Halfbath,Total_House_Area,UnfBsmt,logSalePrice,CentralAir_y,PavedDrive_p,PavedDrive_y,Electrical_fusef,Electrical_fusep,Electrical_mix,Electrical_sbrkr
0,7,4,2,8,0,1,2,3,4,5,4,0,6,1,8,196,1,61,3,1,2566,0.17523364485981308,12.247694320220996,1,0,1,0,0,0,1
1,6,3,2,8,1,4,2,3,4,5,3,3,5,1,6,0,1,298,2,1,2524,0.22503961965134706,12.109010932687044,1,0,1,0,0,0,1
2,7,4,2,8,1,2,2,3,4,5,4,3,6,1,6,162,1,42,3,1,2706,0.4717391304347826,12.31716669303576,1,0,1,0,0,0,1
3,7,4,3,8,1,1,1,3,3,4,3,4,5,1,7,0,1,307,2,0,2473,0.7142857142857143,11.849397701591439,1,0,1,0,0,0,1
4,8,4,3,8,1,3,2,3,4,5,4,3,6,1,9,350,1,276,3,1,3343,0.4279475982532751,12.429216196844385,1,0,1,0,0,0,1
5,5,3,2,8,0,1,1,3,4,5,3,0,6,1,5,0,1,390,2,1,2158,0.08040201005025126,11.870599909242046,1,0,1,0,0,0,1
6,8,4,2,8,1,3,2,3,5,5,4,4,6,1,7,186,1,312,3,0,3380,0.1880189798339265,12.634603026569335,1,0,1,0,0,0,1
7,7,3,2,8,2,2,2,3,4,5,3,3,5,4,7,240,1,667,3,1,3197,0.1951219512195122,12.206072645530176,1,0,1,0,0,0,1
8,7,3,2,7,2,1,1,2,3,4,3,3,1,1,8,0,2,295,2,0,2726,1.0,11.774520202658689,1,0,1,1,0,0,0
9,5,3,1,8,2,1,2,4,3,5,3,3,6,1,5,0,2,4,2,0,2068,0.14127144298688193,11.6784399034478,1,0,1,0,0,0,1
10,5,3,1,8,0,1,1,3,3,5,3,0,3,1,5,0,1,0,2,0,2080,0.12884615384615386,11.771436160121727,1,0,1,0,0,0,1
11,9,5,3,8,2,1,3,3,5,5,5,4,6,1,11,286,1,168,4,0,3499,0.15063829787234045,12.751299696013493,1,0,1,0,0,0,1
12,5,3,1,8,0,1,1,3,3,3,3,0,5,1,4,0,1,316,2,0,1824,0.19188596491228072,11.877568578558137,1,0,1,0,0,0,1
13,7,4,3,8,1,3,2,3,4,5,4,4,1,1,7,306,1,193,2,0,2988,1.0,12.540757571577293,1,0,1,0,0,0,1
14,6,3,1,8,1,1,2,3,3,3,3,2,4,1,5,212,1,389,2,1,2506,0.4150039904229849,11.964001084330445,1,0,1,0,0,0,1
15,7,3,2,8,0,1,1,3,3,5,3,0,1,1,5,0,1,160,1,0,1686,1.0,11.790557201568507,1,0,1,0,0,0,0
16,6,3,2,8,1,1,3,3,3,5,3,3,5,1,5,180,1,0,2,0,2008,0.4243027888446215,11.911701584927595,1,0,1,0,0,0,1
17,4,3,2,8,0,0,1,3,0,3,3,0,0,0,6,0,2,0,2,0,1296,0.0,11.407564949312404,1,0,1,0,0,0,1
18,5,4,2,8,0,1,1,3,3,5,3,0,6,1,6,0,1,102,2,1,2228,0.4201077199281867,11.976659481202367,1,0,1,0,0,0,1
19,5,3,1,7,0,1,1,3,3,3,3,0,2,1,6,0,1,0,1,0,2368,0.5102040816326531,11.842229212112827,1,0,1,0,0,0,1
20,8,4,3,8,1,3,2,3,5,5,4,4,1,1,9,380,1,394,3,1,3534,1.0,12.692503112461445,1,0,1,0,0,0,1
21,7,4,1,8,1,1,1,3,3,5,3,4,1,1,6,0,1,205,1,0,1745,1.0,11.84510277730856,1,0,0,1,0,0,0
22,8,4,2,8,1,1,2,3,4,5,4,4,1,1,7,281,1,330,2,0,3572,1.0,12.345834587905333,1,0,1,0,0,0,1
23,5,3,2,8,1,1,1,3,4,3,3,3,6,1,6,0,1,210,2,0,2100,0.19230769230769232,11.774520202658689,1,0,1,0,0,0,1
24,5,4,1,8,1,2,1,3,3,5,3,3,3,5,6,0,1,496,2,0,2120,0.19245283018867929,11.944707881395766,1,0,1,0,0,0,1
25,8,4,3,8,1,1,2,3,4,5,4,4,1,1,7,640,1,56,2,0,3166,1.0,12.454103912352162,1,0,1,0,0,0,1
26,5,4,2,8,0,2,1,3,3,3,3,0,4,3,5,0,1,254,1,1,1800,0.2,11.811547477460346,1,0,1,0,0,0,1
27,8,4,3,8,1,1,2,3,5,5,4,4,6,1,7,200,1,50,3,0,3408,0.2852112676056338,12.631340380934516,1,0,1,0,0,0,1
