,Id,OverallQual,OverallCond,KitchenQual,GarageCars,Functional,Fireplaces,BsmtExposure,GarageFinish,GarageQual,BsmtQual,HeatingQC,ExterQual,FireplaceQu,BsmtFinType1,BsmtFinType2,TotRmsAbvGrd,BsmtFinSF1,MasVnrArea,BsmtFinSF2,KitchenAbvGr,Outdoor_Rec,Total_Fullbath,Total_Halfbath,Total_House_Area,UnfBsmt,SalePrice,logSalePrice,RoofMatl_compshg,RoofMatl_membran,RoofMatl_metal,RoofMatl_roll,RoofMatl_tar&grv,RoofMatl_wdshake,RoofMatl_wdshngl,CentralAir_y,Exterior1st_asphshn,Exterior1st_brkcomm,Exterior1st_brkface,Exterior1st_cblock,Exterior1st_cemntbd,Exterior1st_hdboard,Exterior1st_imstucc,Exterior1st_metalsd,Exterior1st_plywood,Exterior1st_stone,Exterior1st_stucco,Exterior1st_vinylsd,Exterior1st_wd sdng,Exterior1st_wdshing,Exterior2nd_asphshn,Exterior2nd_brk cmn,Exterior2nd_brkface,Exterior2nd_cblock,Exterior2nd_cmentbd,Exterior2nd_hdboard,Exterior2nd_imstucc,Exterior2nd_metalsd,Exterior2nd_other,Exterior2nd_plywood,Exterior2nd_stone,Exterior2nd_stucco,Exterior2nd_vinylsd,Exterior2nd_wd sdng,Exterior2nd_wd shng,Foundation_cblock,Foundation_pconc,Foundation_slab,Foundation_stone,Foundation_wood,MasVnrType_brkface,MasVnrType_nothing,MasVnrType_stone,PavedDrive_p,PavedDrive_y,Heating_gasa,Heating_gasw,Heating_grav,Heating_othw,Heating_wall,Electrical_fusef,Electrical_fusep,Electrical_mix,Electrical_sbrkr
0,1,7,5,4,2,8,0,1,2,3,4,5,4,0,6,1,8,706,196,0,1,61,3,1,2566,0.17523364485981308,208500,12.247694320220994,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1,2,6,8,3,2,8,1,4,2,3,4,5,3,3,5,1,6,978,0,0,1,298,2,1,2524,0.22503961965134706,181500,12.109010932687042,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
2,3,7,5,4,2,8,1,2,2,3,4,5,4,3,6,1,6,486,162,0,1,42,3,1,2706,0.4717391304347826,223500,12.31716669303576,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3,4,7,5,4,3,8,1,1,1,3,3,4,3,4,5,1,7,216,0,0,1,307,2,0,2473,0.7142857142857143,140000,11.84939770159144,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
4,5,8,5,4,3,8,1,3,2,3,4,5,4,3,6,1,9,655,350,0,1,276,3,1,3343,0.4279475982532751,250000,12.429216196844383,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
5,6,5,5,3,2,8,0,1,1,3,4,5,3,0,6,1,5,732,0,0,1,390,2,1,2158,0.08040201005025126,143000,11.870599909242044,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
6,7,8,5,4,2,8,1,3,2,3,5,5,4,4,6,1,7,1369,186,0,1,312,3,0,3380,0.18801897983392646,307000,12.634603026569334,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
7,8,7,6,3,2,8,2,2,2,3,4,5,3,3,5,4,7,859,240,32,1,667,3,1,3197,0.1951219512195122,200000,12.206072645530174,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
8,9,7,5,3,2,7,2,1,1,2,3,4,3,3,1,1,8,0,0,0,2,295,2,0,2726,1.0,129900,11.77452020265869,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
9,10,5,6,3,1,8,2,1,2,4,3,5,3,3,6,1,5,851,0,0,2,4,2,0,2068,0.14127144298688193,118000,11.678439903447801,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
