,abs_coef,coef
Exterior1st_brkcomm,0.13510986395977057,-0.13510986395977057
Neighborhood_crawfor,0.10820875458431399,0.10820875458431399
SaleType_new,0.10498987293311716,0.10498987293311716
RoofMatl_membran,0.09351928204286453,0.09351928204286453
Neighborhood_idotrr,0.08776485783411767,-0.08776485783411767
Neighborhood_stonebr,0.08364093482842996,0.08364093482842996
Neighborhood_meadowv,0.07955646319936818,-0.07955646319936818
Neighborhood_nridght,0.06340163802778072,0.06340163802778072
MSSubClass_160,0.06297168166935052,-0.06297168166935052
Neighborhood_somerst,0.05946041275577363,0.05946041275577363
Street_pave,0.05872791255236327,0.05872791255236327
OverallQual,0.05592830318419422,0.05592830318419422
CentralAir_y,0.054228289090927806,0.054228289090927806
SaleCondition_normal,0.05325156027907316,0.05325156027907316
Heating_grav,0.05031079027922282,-0.05031079027922282
MSSubClass_30,0.04594191922091485,-0.04594191922091485
RoofStyle_gambrel,0.044582536744660006,-0.044582536744660006
BldgType_twnhs,0.044025909823810966,-0.044025909823810966
Exterior1st_brkface,0.04343415306937477,0.04343415306937477
RoofMatl_wdshngl,0.042220802767245644,0.042220802767245644
KitchenAbvGr,0.04000326485518098,-0.04000326485518098
Condition1_norm,0.03925868028809122,0.03925868028809122
Foundation_wood,0.03696103185849013,-0.03696103185849013
OverallCond,0.036314095043046786,0.036314095043046786
MSZoning_rl,0.03323873987651219,0.03323873987651219
GarageCars,0.026238205428900808,0.026238205428900808
Neighborhood_brdale,0.025441907509786324,-0.025441907509786324
HouseStyle_2.5fin,0.022398192985172812,-0.022398192985172812
LotConfig_culdsac,0.022035652744815212,0.022035652744815212
LotShape_ir2,0.021773571995321244,0.021773571995321244
Foundation_pconc,0.021648670648550392,0.021648670648550392
Condition1_rrae,0.0200175493648078,-0.0200175493648078
Neighborhood_oldtown,0.019492498018125835,-0.019492498018125835
Functional,0.01935991918991971,0.01935991918991971
KitchenQual,0.01927991685280988,0.01927991685280988
BsmtFullBath,0.018858688083246887,0.018858688083246887
Fireplaces,0.017993642439579155,0.017993642439579155
BldgType_twnhse,0.017737522073858883,-0.017737522073858883
HalfBath,0.01642964263058768,0.01642964263058768
FullBath,0.015126010908136901,0.015126010908136901
MSZoning_fv,0.015009972833738654,0.015009972833738654
Condition2_norm,0.013401615264119891,0.013401615264119891
ExterQual,0.012368887300597202,0.012368887300597202
MasVnrType_stone,0.011164825206353287,0.011164825206353287
BsmtExposure,0.01064220582747708,0.01064220582747708
Fence_gdwo,0.010474205055338111,-0.010474205055338111
Neighborhood_veenker,0.009838013518028113,0.009838013518028113
Exterior2nd_stucco,0.009374422755751007,0.009374422755751007
Neighborhood_mitchel,0.008477551152672423,-0.008477551152672423
HeatingQC,0.008060003981089203,0.008060003981089203
SaleType_cwd,0.008002600007992647,0.008002600007992647
Exterior1st_metalsd,0.007829614301249873,0.007829614301249873
GarageType_basment,0.007689655681138488,-0.007689655681138488
Neighborhood_brkside,0.007521320893501266,0.007521320893501266
GarageQual,0.007502542252356803,0.007502542252356803
GarageFinish,0.007084137101212693,0.007084137101212693
Heating_gasw,0.006664157787695434,0.006664157787695434
MiscFeature_nothing,0.00643097701199886,0.00643097701199886
Foundation_stone,0.00624960004430648,0.00624960004430648
BsmtQual,0.004829416958749736,0.004829416958749736
Neighborhood_edwards,0.004515396668437253,-0.004515396668437253
LotConfig_inside,0.004454933232354481,-0.004454933232354481
FireplaceQu,0.0032333619459221333,0.0032333619459221333
PavedDrive_y,0.0031301165691607004,0.0031301165691607004
Neighborhood_nwames,0.0028632522669569116,-0.0028632522669569116
Exterior2nd_hdboard,0.0019808234310910895,-0.0019808234310910895
YrSold,0.0019018112425438047,-0.0019018112425438047
BsmtFinType1,0.0016158036544164276,0.0016158036544164276
YearBuilt,0.0014805638277640193,0.0014805638277640193
YearRemodAdd,0.0007069876518483305,0.0007069876518483305
TotRmsAbvGrd,0.0007036799551554138,0.0007036799551554138
Exterior1st_wd sdng,0.0006975227940944827,-0.0006975227940944827
Neighborhood_noridge,0.0002832793215178967,0.0002832793215178967
GrLivArea,0.00024720050137120605,0.00024720050137120605
ScreenPorch,0.0001337759708705842,0.0001337759708705842
TotalBsmtSF,8.502507735283107e-05,8.502507735283107e-05
GarageArea,7.708440709197197e-05,7.708440709197197e-05
BsmtFinSF1,6.930344693158757e-05,6.930344693158757e-05
LotFrontage,6.306070818892747e-05,6.306070818892747e-05
LowQualFinSF,5.8567394631054414e-05,-5.8567394631054414e-05
OpenPorchSF,5.742837608164196e-05,5.742837608164196e-05
WoodDeckSF,4.2423470423568186e-05,4.2423470423568186e-05
MasVnrArea,3.368590533355537e-05,3.368590533355537e-05
Exterior1st_hdboard,2.3959361721363978e-05,-2.3959361721363978e-05
1stFlrSF,2.2825567896782398e-05,2.2825567896782398e-05
BsmtFinSF2,1.7099327553913643e-05,1.7099327553913643e-05
LotArea,1.699750090110704e-06,1.699750090110704e-06
