,predictor,importance
4,OverallQual,0.3439310054159861
24,GrLivArea,0.18529686318606092
9,ExterQual,0.06460341153139762
31,KitchenQual,0.06428855989240942
38,GarageCars,0.04329138731791553
39,GarageArea,0.03914690808438528
6,YearBuilt,0.037359690865228515
19,TotalBsmtSF,0.037267743374373094
21,1stFlrSF,0.02525018628588402
15,BsmtFinSF1,0.016770633028608897
11,BsmtQual,0.016107589511892492
76,GarageType,0.0146298577304124
74,CentralAir,0.012268673484673484
35,FireplaceQu,0.011408808395078112
37,GarageFinish,0.011186764026213707
52,decade_YearBuilt,0.010288577677534634
27,FullBath,0.007635277134762771
2,LotArea,0.007631405340951664
7,YearRemodAdd,0.006565238774077466
41,GarageCond,0.005002665829576135
14,BsmtFinType1,0.004709895335839873
22,2ndFlrSF,0.004557814305481406
34,Fireplaces,0.004134145835811799
36,GarageYrBlt,0.0037621159670582676
5,OverallCond,0.0026830447486212543
32,TotRmsAbvGrd,0.0022836828875217306
8,MasVnrArea,0.0015714805830411836
54,decade_GarageYrBlt,0.0014968318419338947
53,decade_YearRemodAdd,0.001401136815514283
55,MSZoning,0.0013493580177615116
43,OpenPorchSF,0.001210318306721952
77,PavedDrive,0.001172043029186341
62,Neighborhood,0.0011286554054745976
18,BsmtUnfSF,0.0010525950553246025
40,GarageQual,0.0010129124112958562
29,BedroomAbvGr,0.0009678358994679076
58,LotShape,0.0009670976921446981
0,MSSubClass,0.000853491038457592
1,LotFrontage,0.0007727307090423185
42,WoodDeckSF,0.0005503798713679881
28,HalfBath,0.0004438804797367645
25,BsmtFullBath,0.0004360922224595343
66,HouseStyle,0.00020748838108192944
13,BsmtExposure,0.0002045064598117856
69,Exterior1st,0.00019130934117945756
20,HeatingQC,0.00016754856258098115
51,YrSold,0.00010400978444210147
30,KitchenAbvGr,9.523175909194204e-05
70,Exterior2nd,6.860990743215579e-05
65,BldgType,6.177379432930896e-05
50,MoSold,5.896223129646351e-05
61,LotConfig,5.8500919288068315e-05
75,Electrical,5.8132768475414676e-05
71,MasVnrType,5.3170884868497296e-05
67,RoofStyle,4.8204091868035004e-05
44,EnclosedPorch,4.763024518185037e-05
12,BsmtCond,4.432398108885949e-05
72,Foundation,3.86209952883134e-05
17,BsmtFinSF2,1.894817719088263e-05
33,Functional,1.679933076809327e-05
59,LandContour,4.853469609532939e-06
78,Fence,2.5895684387144594e-06
73,Heating,0.0
68,RoofMatl,0.0
10,ExterCond,0.0
3,LandSlope,0.0
79,MiscFeature,0.0
80,SaleType,0.0
60,Utilities,0.0
64,Condition2,0.0
63,Condition1,0.0
16,BsmtFinType2,0.0
57,Alley,0.0
56,Street,0.0
23,LowQualFinSF,0.0
49,MiscVal,0.0
48,PoolQC,0.0
47,PoolArea,0.0
46,ScreenPorch,0.0
45,3SsnPorch,0.0
26,BsmtHalfBath,0.0
81,SaleCondition,0.0
