Id,OverallQual,OverallCond,KitchenQual,GarageCars,Functional,Fireplaces,BsmtExposure,GarageFinish,GarageQual,BsmtQual,HeatingQC,ExterQual,FireplaceQu,BsmtFinType1,BsmtFinType2,TotRmsAbvGrd,BsmtFinSF1,MasVnrArea,BsmtFinSF2,KitchenAbvGr,Outdoor_Rec,Total_Fullbath,Total_Halfbath,Total_House_Area,FinBsmt,SalePrice,logSalePrice,CentralAir_y,PavedDrive_p,PavedDrive_y
1,7,5,4,2,8,0,1,2,3,4,5,4,0,6,1,8,706,196,0,1,61,3,1,2566,0.8247663551401869,208500,12.247694320220994,1,0,1
2,6,8,3,2,8,1,4,2,3,4,5,3,3,5,1,6,978,0,0,1,298,2,1,2524,0.7749603803486529,181500,12.109010932687042,1,0,1
3,7,5,4,2,8,1,2,2,3,4,5,4,3,6,1,6,486,162,0,1,42,3,1,2706,0.5282608695652173,223500,12.31716669303576,1,0,1
4,7,5,4,3,8,1,1,1,3,3,4,3,4,5,1,7,216,0,0,1,307,2,0,2473,0.2857142857142857,140000,11.84939770159144,1,0,1
5,8,5,4,3,8,1,3,2,3,4,5,4,3,6,1,9,655,350,0,1,276,3,1,3343,0.5720524017467249,250000,12.429216196844383,1,0,1
6,5,5,3,2,8,0,1,1,3,4,5,3,0,6,1,5,732,0,0,1,390,2,1,2158,0.9195979899497487,143000,11.870599909242044,1,0,1
7,8,5,4,2,8,1,3,2,3,5,5,4,4,6,1,7,1369,186,0,1,312,3,0,3380,0.8119810201660735,307000,12.634603026569334,1,0,1
8,7,6,3,2,8,2,2,2,3,4,5,3,3,5,4,7,859,240,32,1,667,3,1,3197,0.8048780487804879,200000,12.206072645530174,1,0,1
9,7,5,3,2,7,2,1,1,2,3,4,3,3,1,1,8,0,0,0,2,295,2,0,2726,0.0,129900,11.77452020265869,1,0,1
10,5,6,3,1,8,2,1,2,4,3,5,3,3,6,1,5,851,0,0,2,4,2,0,2068,0.858728557013118,118000,11.678439903447801,1,0,1
11,5,5,3,1,8,0,1,1,3,3,5,3,0,3,1,5,906,0,0,1,0,2,0,2080,0.8711538461538462,129500,11.771436160121729,1,0,1
12,9,5,5,3,8,2,1,3,3,5,5,5,4,6,1,11,998,286,0,1,168,4,0,3499,0.8493617021276596,345000,12.751299696013497,1,0,1
13,5,6,3,1,8,0,1,1,3,3,3,3,0,5,1,4,737,0,0,1,316,2,0,1824,0.8081140350877193,144000,11.877568578558138,1,0,1
14,7,5,4,3,8,1,3,2,3,4,5,4,4,1,1,7,0,306,0,1,193,2,0,2988,0.0,279500,12.540757571577291,1,0,1
15,6,5,3,1,8,1,1,2,3,3,3,3,2,4,1,5,733,212,0,1,389,2,1,2506,0.5849960095770151,157000,11.964001084330445,1,0,1
16,7,8,3,2,8,0,1,1,3,3,5,3,0,1,1,5,0,0,0,1,160,1,0,1686,0.0,132000,11.790557201568507,1,0,1
17,6,7,3,2,8,1,1,3,3,3,5,3,3,5,1,5,578,180,0,1,0,2,0,2008,0.5756972111553784,149000,11.911701584927597,1,0,1
18,4,5,3,2,8,0,0,1,3,0,3,3,0,0,0,6,0,0,0,2,0,2,0,1296,0.0,90000,11.407564949312402,1,0,1
19,5,5,4,2,8,0,1,1,3,3,5,3,0,6,1,6,646,0,0,1,102,2,1,2228,0.5798922800718133,159000,11.976659481202368,1,0,1
20,5,6,3,1,7,0,1,1,3,3,3,3,0,2,1,6,504,0,0,1,0,1,0,2368,0.4897959183673469,139000,11.842229212112828,1,0,1
21,8,5,4,3,8,1,3,2,3,5,5,4,4,1,1,9,0,380,0,1,394,3,1,3534,0.0,325300,12.692503112461443,1,0,1
22,7,7,4,1,8,1,1,1,3,3,5,3,4,1,1,6,0,0,0,1,205,1,0,1745,0.0,139400,11.845102777308561,1,0,0
23,8,5,4,2,8,1,1,2,3,4,5,4,4,1,1,7,0,281,0,1,330,2,0,3572,0.0,230000,12.345834587905333,1,0,1
24,5,7,3,2,8,1,1,1,3,4,3,3,3,6,1,6,840,0,0,1,210,2,0,2100,0.8076923076923077,129900,11.77452020265869,1,0,1
25,5,8,4,1,8,1,2,1,3,3,5,3,3,3,5,6,188,0,668,1,496,2,0,2120,0.8075471698113208,154000,11.944707881395766,1,0,1
26,8,5,4,3,8,1,1,2,3,4,5,4,4,1,1,7,0,640,0,1,56,2,0,3166,0.0,256300,12.454103912352162,1,0,1
27,5,7,4,2,8,0,2,1,3,3,3,3,0,4,3,5,234,0,486,1,254,1,1,1800,0.8,134800,11.811547477460344,1,0,1
28,8,5,4,3,8,1,1,2,3,5,5,4,4,6,1,7,1218,200,0,1,50,3,0,3408,0.7147887323943662,306000,12.631340380934517,1,0,1
29,5,6,3,1,8,2,4,2,3,3,3,3,4,4,1,6,1277,0,0,1,546,2,0,3084,0.860512129380054,207500,12.24288661865289,1,0,1
30,4,6,2,1,8,0,1,1,2,3,2,3,0,1,1,4,0,0,0,1,136,1,0,1040,0.0,68500,11.134589024250317,0,0,1
31,4,4,3,1,8,0,1,1,3,3,3,3,0,1,1,6,0,0,0,1,226,1,0,1966,0.0,40000,10.596634733096073,0,0,0
32,5,6,4,1,8,0,1,1,3,3,4,3,0,1,1,6,0,0,0,1,65,1,1,2456,0.0,149350,11.914047823644255,1,0,1
33,8,5,4,2,8,0,3,2,3,5,5,4,0,1,1,7,0,0,0,1,30,2,0,2468,0.0,179900,12.100156419938624,1,0,1
34,5,5,4,2,8,1,1,2,3,3,4,3,4,3,1,6,1018,0,0,1,38,1,2,3098,0.7281831187410587,165500,12.016726473799254,1,0,1
35,9,5,5,2,8,1,1,3,3,5,5,5,4,6,1,6,1153,246,0,1,250,3,0,3122,0.7386290839205638,277500,12.533576212168626,1,0,1
36,8,5,4,3,8,1,3,3,3,5,5,4,4,1,1,9,0,132,0,1,145,3,1,3569,0.0,309000,12.641096555879882,1,0,1
37,5,5,3,2,8,0,1,1,3,4,5,3,0,1,1,6,0,0,0,1,456,1,1,2194,0.0,145000,11.884489021402711,1,0,1
38,5,6,3,2,8,1,1,3,3,3,4,3,3,3,1,5,1213,650,0,1,0,1,1,2594,0.9352351580570547,153000,11.938193200374572,1,0,1
39,5,7,4,1,8,0,1,1,3,3,3,3,0,6,1,5,731,0,0,1,52,2,0,2114,0.6915799432355724,109000,11.59910316121128,1,0,1
40,4,5,2,0,8,0,0,0,0,0,3,3,0,0,0,6,0,0,0,2,0,2,0,1152,0.0,82000,11.314474526246391,0,0,0
41,6,5,3,2,8,1,1,2,3,3,5,3,3,3,1,6,643,101,0,1,138,2,0,2412,0.5909926470588236,160000,11.982929094215963,1,0,1
42,5,6,3,1,8,2,4,2,3,3,4,3,4,4,1,5,967,0,0,1,104,1,2,2678,0.7162962962962963,170000,12.043553716032399,1,1,0
43,5,7,4,2,8,0,3,2,3,4,4,3,0,5,2,5,747,0,93,1,240,2,0,1724,1.0,144000,11.877568578558138,1,0,1
44,5,6,3,1,8,0,3,1,3,4,3,3,0,2,4,5,280,0,491,1,145,2,0,1876,0.8219616204690832,130250,11.777210959615614,1,0,1
45,5,6,3,1,8,0,1,2,3,3,5,3,0,5,4,6,179,0,506,1,0,2,0,2300,0.5956521739130435,141000,11.856515169360305,1,0,1
46,9,5,5,2,8,1,1,2,3,5,5,5,4,6,1,6,456,412,0,1,278,3,0,3504,0.26027397260273977,319900,12.675763725937609,1,0,1
47,7,5,4,2,8,1,1,2,3,5,5,4,5,6,1,6,1351,0,0,1,409,2,1,3583,0.9421199442119944,239686,12.387085012375499,1,0,1
48,8,5,4,3,8,0,3,2,3,4,5,4,0,6,1,7,24,0,0,1,146,2,0,3312,0.01449275362318836,249700,12.428015476267865,1,0,1
49,4,5,3,0,8,0,1,0,0,3,4,3,0,1,1,8,0,0,0,3,102,2,0,2188,0.0,113000,11.635143097694478,1,0,0
50,5,7,3,1,8,0,1,1,3,3,5,3,0,4,1,6,763,0,0,1,0,2,0,1910,0.7989528795811518,127000,11.751942365440728,1,0,1
51,6,6,3,2,8,0,3,3,3,4,4,3,0,6,1,6,182,0,0,1,75,2,1,2264,0.22921914357682616,177000,12.083905011555967,1,0,1
52,6,6,3,2,8,1,1,1,3,3,3,3,4,1,1,6,0,0,0,1,112,1,0,1992,0.0,114500,11.648330101976432,1,0,1
53,5,5,3,2,8,0,4,1,3,4,3,2,0,2,6,5,104,0,712,1,106,2,0,1632,1.0,110000,11.608235644774552,0,0,1
