Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,decade_YearBuilt,decade_YearRemodAdd,decade_GarageYrBlt
1,60,rl,65,8450,pave,nothing,reg,lvl,allpub,inside,3,collgcr,norm,norm,1fam,2story,7,5,2003,2003,gable,compshg,vinylsd,vinylsd,brkface,196,4,3,pconc,4,3,1,6,706,1,0,150,856,gasa,5,y,sbrkr,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,0,attchd,2003,2,2,548,3,3,y,0,61,0,0,0,0,0,nothing,nothing,0,2,2008,wd,normal,208500,10,10,10
2,20,rl,80,9600,pave,nothing,reg,lvl,allpub,fr2,3,veenker,feedr,norm,1fam,1story,6,8,1976,1976,gable,compshg,metalsd,metalsd,nothing,0,3,3,cblock,4,3,4,5,978,1,0,284,1262,gasa,5,y,sbrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,3,attchd,1976,2,2,460,3,3,y,298,0,0,0,0,0,0,nothing,nothing,0,5,2007,wd,normal,181500,7,7,7
3,60,rl,68,11250,pave,nothing,ir1,lvl,allpub,inside,3,collgcr,norm,norm,1fam,2story,7,5,2001,2002,gable,compshg,vinylsd,vinylsd,brkface,162,4,3,pconc,4,3,2,6,486,1,0,434,920,gasa,5,y,sbrkr,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,3,attchd,2001,2,2,608,3,3,y,0,42,0,0,0,0,0,nothing,nothing,0,9,2008,wd,normal,223500,10,10,10
4,70,rl,60,9550,pave,nothing,ir1,lvl,allpub,corner,3,crawfor,norm,norm,1fam,2story,7,5,1915,1970,gable,compshg,wd sdng,wd shng,nothing,0,3,3,brktil,3,4,1,5,216,1,0,540,756,gasa,4,y,sbrkr,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,4,detchd,1998,1,3,642,3,3,y,0,35,272,0,0,0,0,nothing,nothing,0,2,2006,wd,abnorml,140000,1,7,9
5,60,rl,84,14260,pave,nothing,ir1,lvl,allpub,fr2,3,noridge,norm,norm,1fam,2story,8,5,2000,2000,gable,compshg,vinylsd,vinylsd,brkface,350,4,3,pconc,4,3,3,6,655,1,0,490,1145,gasa,5,y,sbrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,3,attchd,2000,2,3,836,3,3,y,192,84,0,0,0,0,0,nothing,nothing,0,12,2008,wd,normal,250000,10,10,10
6,50,rl,85,14115,pave,nothing,ir1,lvl,allpub,inside,3,mitchel,norm,norm,1fam,1.5fin,5,5,1993,1995,gable,compshg,vinylsd,vinylsd,nothing,0,3,3,wood,4,3,1,6,732,1,0,64,796,gasa,5,y,sbrkr,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,0,attchd,1993,1,2,480,3,3,y,40,30,0,320,0,0,0,mnprv,shed,700,10,2009,wd,normal,143000,9,9,9
7,20,rl,75,10084,pave,nothing,reg,lvl,allpub,inside,3,somerst,norm,norm,1fam,1story,8,5,2004,2005,gable,compshg,vinylsd,vinylsd,stone,186,4,3,pconc,5,3,3,6,1369,1,0,317,1686,gasa,5,y,sbrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,4,attchd,2004,2,2,636,3,3,y,255,57,0,0,0,0,0,nothing,nothing,0,8,2007,wd,normal,307000,10,10,10
8,60,rl,0,10382,pave,nothing,ir1,lvl,allpub,corner,3,nwames,posn,norm,1fam,2story,7,6,1973,1973,gable,compshg,hdboard,hdboard,stone,240,3,3,cblock,4,3,2,5,859,4,32,216,1107,gasa,5,y,sbrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,3,attchd,1973,2,2,484,3,3,y,235,204,228,0,0,0,0,nothing,shed,350,11,2009,wd,normal,200000,7,7,7
9,50,rm,51,6120,pave,nothing,reg,lvl,allpub,inside,3,oldtown,artery,norm,1fam,1.5fin,7,5,1931,1950,gable,compshg,brkface,wd shng,nothing,0,3,3,brktil,3,3,1,1,0,1,0,952,952,gasa,4,y,fusef,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,3,detchd,1931,1,2,468,2,3,y,90,0,205,0,0,0,0,nothing,nothing,0,4,2008,wd,abnorml,129900,3,5,3
10,190,rl,50,7420,pave,nothing,reg,lvl,allpub,corner,3,brkside,artery,artery,2fmcon,1.5unf,5,6,1939,1950,gable,compshg,metalsd,metalsd,nothing,0,3,3,brktil,3,3,1,6,851,1,0,140,991,gasa,5,y,sbrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,3,attchd,1939,2,1,205,4,3,y,0,4,0,0,0,0,0,nothing,nothing,0,1,2008,wd,normal,118000,3,5,3
